Subject,Group,Category,Type,Metric,Value
sub-025,control,Word,Asymmetric,Hybrid_Stability,0.9090885235282974
sub-025,control,Object,Bilateral,Hybrid_Stability,0.7390122419164302
sub-025,control,House,Bilateral,Hybrid_Stability,0.7862982169022997
sub-025,control,Face,Asymmetric,Spatial_Drift,6.245598323211791
sub-025,control,Word,Asymmetric,Spatial_Drift,9.905009196887551
sub-025,control,Object,Bilateral,Spatial_Drift,1.264985021796428
sub-025,control,House,Bilateral,Spatial_Drift,10.615624395177012
sub-025,control,Face,Asymmetric,Spatial_Drift,5.174860743703038
sub-025,control,Word,Asymmetric,Spatial_Drift,5.728430869362984
sub-025,control,Object,Bilateral,Spatial_Drift,1.123579766417614
sub-025,control,House,Bilateral,Spatial_Drift,6.764198538785012
sub-025,control,Face,Asymmetric,RDM_Stability,0.9667360681861807
sub-025,control,Word,Asymmetric,RDM_Stability,0.9514827769675916
sub-025,control,Object,Bilateral,RDM_Stability,0.8040740293336841
sub-025,control,House,Bilateral,RDM_Stability,0.14826394487930175
sub-025,control,Face,Asymmetric,RDM_Stability,0.9146180059823616
sub-025,control,Word,Asymmetric,RDM_Stability,0.618270670646055
sub-025,control,Object,Bilateral,RDM_Stability,0.9506052456869227
sub-025,control,House,Bilateral,RDM_Stability,0.33484347434087264
sub-027,control,Face,Asymmetric,Hybrid_Stability,0.5097669267513967
sub-027,control,Word,Asymmetric,Hybrid_Stability,0.7497010656404031
sub-027,control,Object,Bilateral,Hybrid_Stability,0.2517116800185835
sub-027,control,House,Bilateral,Hybrid_Stability,0.626549019447969
sub-027,control,Face,Asymmetric,Hybrid_Stability,0.802990893508164
sub-027,control,Object,Bilateral,Hybrid_Stability,0.1943058406695418
sub-027,control,House,Bilateral,Hybrid_Stability,0.5183011998672045
sub-027,control,Face,Asymmetric,Spatial_Drift,12.491370487441124
sub-027,control,Word,Asymmetric,Spatial_Drift,39.544103205760685
sub-027,control,Object,Bilateral,Spatial_Drift,14.40580529310766
sub-027,control,House,Bilateral,Spatial_Drift,2.7290063484085327
sub-027,control,Face,Asymmetric,Spatial_Drift,5.910249090083966
sub-027,control,Object,Bilateral,Spatial_Drift,9.067038479699331
sub-027,control,House,Bilateral,Spatial_Drift,3.1858583905154827
sub-027,control,Face,Asymmetric,RDM_Stability,0.29085880755486737
sub-027,control,Word,Asymmetric,RDM_Stability,-0.14610952050176498
sub-027,control,Object,Bilateral,RDM_Stability,0.06502895903766967
sub-027,control,House,Bilateral,RDM_Stability,-0.3287189861390784
sub-027,control,Face,Asymmetric,RDM_Stability,0.11373329149877488
sub-027,control,Word,Asymmetric,RDM_Stability,0.06975340642384555
sub-027,control,Object,Bilateral,RDM_Stability,0.5362691861423263
sub-027,control,House,Bilateral,RDM_Stability,-0.11206625985771661
sub-052,control,Face,Asymmetric,Hybrid_Stability,0.8513326477553693
sub-052,control,Word,Asymmetric,Hybrid_Stability,0.7972980724336713
sub-052,control,Object,Bilateral,Hybrid_Stability,0.6289492294727494
sub-052,control,House,Bilateral,Hybrid_Stability,0.7080960831171419
sub-052,control,Face,Asymmetric,Hybrid_Stability,0.8641275558530721
sub-052,control,Word,Asymmetric,Hybrid_Stability,0.7124706846680899
sub-052,control,Object,Bilateral,Hybrid_Stability,0.5761687254883553
