subject,code,group,hemi,roi_category,measured_category,category_type,mds_shift
sub-022,control022,control,l,word,house,Bilateral,0.31126993276492637
sub-022,control022,control,l,object,face,Unilateral,0.24620466641999023
sub-022,control022,control,l,object,word,Unilateral,0.20131476560258924
sub-022,control022,control,l,object,object,Bilateral,0.15246843372717558
sub-022,control022,control,l,object,house,Bilateral,0.46470096055915816
sub-022,control022,control,l,house,face,Unilateral,0.11297726097960296
sub-022,control022,control,l,house,word,Unilateral,0.11776656913678099
sub-022,control022,control,l,house,object,Bilateral,0.04469233775929975
sub-022,control022,control,l,house,house,Bilateral,0.10608155579239091
sub-022,control022,control,r,face,face,Unilateral,0.12831110004438032
sub-022,control022,control,r,face,word,Unilateral,0.27140015810064794
sub-022,control022,control,r,face,object,Bilateral,0.05196147868908222
sub-022,control022,control,r,face,house,Bilateral,0.33702882174947035
sub-022,control022,control,r,word,face,Unilateral,0.3996654534442732
sub-022,control022,control,r,word,word,Unilateral,0.21569157411341833
sub-022,control022,control,r,word,object,Bilateral,0.022807795414587086
sub-022,control022,control,r,word,house,Bilateral,0.18316984126185645
sub-022,control022,control,r,object,face,Unilateral,0.23097866155041386
sub-022,control022,control,r,object,word,Unilateral,0.06447983981717531
sub-022,control022,control,r,object,object,Bilateral,0.6138049085323423
sub-022,control022,control,r,object,house,Bilateral,0.35461950315531693
sub-022,control022,control,r,house,face,Unilateral,0.25447865221698307
sub-022,control022,control,r,house,word,Unilateral,0.06580390754579613
sub-022,control022,control,r,house,object,Bilateral,0.2837928931152423
sub-022,control022,control,r,house,house,Bilateral,0.17340090607520292
sub-025,control025,control,l,face,face,Unilateral,0.3943429097532718
sub-025,control025,control,l,face,word,Unilateral,0.2325216219290166
sub-025,control025,control,l,face,object,Bilateral,0.4201612558463771
sub-025,control025,control,l,face,house,Bilateral,0.26712871359103596
sub-025,control025,control,l,word,face,Unilateral,0.36072729981319746
sub-025,control025,control,l,word,word,Unilateral,0.021248349159112834
sub-025,control025,control,l,word,object,Bilateral,0.30937404757217873
sub-025,control025,control,l,word,house,Bilateral,0.06304376733521214
sub-025,control025,control,l,object,face,Unilateral,0.13673218524627398
sub-025,control025,control,l,object,word,Unilateral,0.6873726150605076
sub-025,control025,control,l,object,object,Bilateral,0.2981204210536683
sub-025,control025,control,l,object,house,Bilateral,0.26356352945397965
sub-025,control025,control,l,house,face,Unilateral,0.370815910476143
sub-025,control025,control,l,house,word,Unilateral,0.6790960844317114
sub-025,control025,control,l,house,object,Bilateral,0.16349626054884756
sub-025,control025,control,l,house,house,Bilateral,0.30186415347842277
sub-025,control025,control,r,face,face,Unilateral,0.2590860318383576
sub-025,control025,control,r,face,word,Unilateral,0.2618287047885789
sub-025,control025,control,r,face,object,Bilateral,0.206446460893507
sub-025,control025,control,r,face,house,Bilateral,0.09302258755756938
sub-025,control025,control,r,word,face,Unilateral,0.1473725387188162
